,t_u,t_p,C_D,C_L
5530,3.456874999999848,3.4565624999998477,2.680216571355325,-0.010926137413232439
5531,3.4574999999998477,3.4571874999998475,2.6804272231653745,-0.010897215059592305
5532,3.4581249999998476,3.4578124999998474,2.6806376079457843,-0.010868143978601514
5533,3.4587499999998474,3.4584374999998473,2.680847725651022,-0.01083892718633349
5534,3.4593749999998473,3.459062499999847,2.6810575762360105,-0.01080956772327265
5535,3.459999999999847,3.459687499999847,2.6812671596561843,-0.010780068653592318
5536,3.460624999999847,3.460312499999847,2.6814764758666993,-0.010750433065214964
5537,3.461249999999847,3.460937499999847,2.681685524823261,-0.010720664069314413
5538,3.461874999999847,3.4615624999998467,2.6818943064821346,-0.010690764800035094
5539,3.4624999999998467,3.4621874999998465,2.68210282079892,-0.010660738414255197
5540,3.4631249999998466,3.4628124999998464,2.6823110677306796,-0.010630588091391493
5541,3.4637499999998465,3.4634374999998463,2.68251904723373,-0.010600317032733151
5542,3.4643749999998463,3.464062499999846,2.682726759265258,-0.010569928461496913
5543,3.464999999999846,3.464687499999846,2.6829342037824597,-0.010539425622402638
5544,3.465624999999846,3.465312499999846,2.6831413807427364,-0.010508811781266343
5545,3.466249999999846,3.465937499999846,2.6833482901038024,-0.010478090224662277
5546,3.466874999999846,3.4665624999998457,2.683554931823651,-0.010447264259863932
5547,3.4674999999998457,3.4671874999998455,2.6837613058606373,-0.01041633721416054
5548,3.4681249999998456,3.4678124999998454,2.6839674121730916,-0.010385312434788086
5549,3.4687499999998455,3.4684374999998453,2.684173250719865,-0.01035419328851661
5550,3.4693749999998453,3.469062499999845,2.6843788214597573,-0.010322983161178568
5551,3.469999999999845,3.469687499999845,2.6845841243523165,-0.010291685457572211
5552,3.470624999999845,3.470312499999845,2.6847891593567343,-0.010260303600935388
5553,3.471249999999845,3.470937499999845,2.6849939264327882,-0.01022884103268323
5554,3.471874999999845,3.4715624999998447,2.6851984255406403,-0.010197301212042188
5555,3.4724999999998447,3.4721874999998446,2.685402656640323,-0.010165687615657889
5556,3.4731249999998446,3.4728124999998444,2.6856066196922312,-0.010134003737246591
5557,3.4737499999998445,3.4734374999998443,2.6858103146573518,-0.010102253087441202
5558,3.4743749999998443,3.474062499999844,2.6860137414963643,-0.010070439192983846
5559,3.474999999999844,3.474687499999844,2.6862169001704497,-0.010038565596735743
5560,3.475624999999844,3.475312499999844,2.6864197906413834,-0.010006635857349764
5561,3.476249999999844,3.475937499999844,2.6866224128705736,-0.009974653548622434
5562,3.476874999999844,3.4765624999998437,2.68682476681973,-0.009942622259183655
5563,3.4774999999998437,3.4771874999998436,2.687026852451422,-0.00991054559237404
5564,3.4781249999998436,3.4778124999998434,2.6872286697277907,-0.009878427165510895
5565,3.4787499999998435,3.4784374999998433,2.6874302186114396,-0.009846270609839497
5566,3.4793749999998433,3.479062499999843,2.687631499065317,-0.009814079569850653
5567,3.479999999999843,3.479687499999843,2.6878325110524988,-0.009781857703173807
5568,3.480624999999843,3.480312499999843,2.6880332545361565,-0.009749608679934987
5569,3.481249999999843,3.480937499999843,2.6882337294799608,-0.00971733618264388
5570,3.481874999999843,3.4815624999998427,2.6884339358477685,-0.009685043905318253
5571,3.4824999999998427,3.4821874999998426,2.6886338736033584,-0.009652735553864995
5572,3.4831249999998426,3.4828124999998424,2.6888335427111336,-0.009620414844857842
5573,3.4837499999998425,3.4834374999998423,2.6890329431354916,-0.009588085505722316
5574,3.4843749999998423,3.484062499999842,2.6892320748411525,-0.009555751273943836
5575,3.4849999999998422,3.484687499999842,2.6894309377930146,-0.00952341589703384
5576,3.485624999999842,3.485312499999842,2.689629531955938,-0.009491083131803043
5577,3.486249999999842,3.485937499999842,2.6898278572958754,-0.009458756744103429
5578,3.486874999999842,3.4865624999998417,2.6900259137778226,-0.00942644050838863
5579,3.4874999999998417,3.4871874999998416,2.6902237013676746,-0.009394138207318804
5580,3.4881249999998416,3.4878124999998414,2.690421220031809,-0.009361853631229655
5581,3.4887499999998415,3.4884374999998413,2.690618469735995,-0.009329590578084421
5582,3.4893749999998414,3.489062499999841,2.690815450446873,-0.009297352852409065
5583,3.4899999999998412,3.489687499999841,2.691012162130981,-0.009265144265543581
5584,3.490624999999841,3.490312499999841,2.6912086047554196,-0.009232968634806254
5585,3.491249999999841,3.490937499999841,2.691404778287058,-0.009200829783184742
5586,3.491874999999841,3.4915624999998407,2.6916006826931036,-0.009168731538848708
5587,3.4924999999998407,3.4921874999998406,2.691796317941123,-0.009136677734930316
5588,3.4931249999998406,3.4928124999998404,2.6919916839990634,-0.009104672208768044
5589,3.4937499999998405,3.4934374999998403,2.692186780834461,-0.00907271880182232
5590,3.4943749999998404,3.49406249999984,2.6923816084155425,-0.009040821358940535
5591,3.4949999999998402,3.49468749999984,2.6925761667106007,-0.009008983728022986
5592,3.49562499999984,3.49531249999984,2.6927704556884176,-0.00897720975979031
5593,3.49624999999984,3.49593749999984,2.692964475317156,-0.008945503307046538
5594,3.49687499999984,3.4965624999998397,2.69315822556619,-0.00891386822431097
5595,3.4974999999998397,3.4971874999998396,2.6933517064045285,-0.00888230836752789
5596,3.4981249999998396,3.4978124999998395,2.6935449178011632,-0.008850827593356285
5597,3.4987499999998395,3.4984374999998393,2.6937378597259656,-0.008819429759242154
5598,3.4993749999998394,3.499062499999839,2.6939305321485163,-0.008788118722231977
5599,3.4999999999998392,3.499687499999839,2.6941229350387492,-0.008756898339100498
5600,3.500624999999839,3.500312499999839,2.6943150683665773,-0.008725772465684796
5601,3.501249999999839,3.500937499999839,2.694506932102273,-0.008694744956581386
5602,3.501874999999839,3.5015624999998387,2.6946985262164094,-0.00866381966438062
5603,3.5024999999998387,3.5021874999998386,2.69488985067954,-0.008633000439553534
5604,3.5031249999998386,3.5028124999998385,2.695080905462605,-0.0086022911299092
5605,3.5037499999998385,3.5034374999998383,2.6952716905363663,-0.008571695579929022
5606,3.5043749999998384,3.504062499999838,2.6954622058723112,-0.008541217630647573
5607,3.5049999999998382,3.504687499999838,2.695652451441512,-0.008510861118970627
5608,3.505624999999838,3.505312499999838,2.6958424272159416,-0.008480629877258068
5609,3.506249999999838,3.505937499999838,2.696032133166706,-0.008450527733018723
5610,3.506874999999838,3.5065624999998377,2.696221569266223,-0.008420558508059176
5611,3.5074999999998377,3.5071874999998376,2.6964107354863978,-0.008390726018694894
5612,3.5081249999998376,3.5078124999998375,2.6965996317995438,-0.008361034074471444
5613,3.5087499999998375,3.5084374999998373,2.6967882581779765,-0.008331486478481422
5614,3.5093749999998374,3.509062499999837,2.6969766145944014,-0.008302087026246591
5615,3.5099999999998373,3.509687499999837,2.6971647010214355,-0.00827283950592263
5616,3.510624999999837,3.510312499999837,2.697352517432371,-0.008243747697112154
5617,3.511249999999837,3.510937499999837,2.6975400637999307,-0.008214815371086029
5618,3.511874999999837,3.5115624999998367,2.697727340097487,-0.00818604628968748
5619,3.5124999999998368,3.5121874999998366,2.6979143462987043,-0.008157444205537608
5620,3.5131249999998366,3.5128124999998365,2.698101082376996,-0.008129012861065148
5621,3.5137499999998365,3.5134374999998363,2.69828754830606,-0.008100755988175652
5622,3.5143749999998364,3.514062499999836,2.698473744059974,-0.008072677307928397
5623,3.5149999999998363,3.514687499999836,2.6986596696130567,-0.00804478052988425
5624,3.515624999999836,3.515312499999836,2.6988453249389828,-0.008017069351886523
5625,3.516249999999836,3.515937499999836,2.6990307100127047,-0.00798954745922896
5626,3.516874999999836,3.5165624999998357,2.6992158248085225,-0.007962218524671607
5627,3.5174999999998358,3.5171874999998356,2.6994006693010553,-0.007935086207579147
5628,3.5181249999998356,3.5178124999998355,2.699585243465591,-0.00790815415352958
5629,3.5187499999998355,3.5184374999998353,2.6997695472768486,-0.007881425994186241
5630,3.5193749999998354,3.5190624999998352,2.69995358071017,-0.00785490534639194
5631,3.5199999999998353,3.519687499999835,2.700137343740661,-0.007828595811993395
5632,3.520624999999835,3.520312499999835,2.700320836344183,-0.0078025009771663005
5633,3.521249999999835,3.520937499999835,2.700504058495934,-0.007776624412367633
5634,3.521874999999835,3.5215624999998347,2.7006870101721887,-0.007750969671198275
5635,3.5224999999998348,3.5221874999998346,2.7008696913484656,-0.007725540290842377
5636,3.5231249999998346,3.5228124999998345,2.7010521020010967,-0.007700339790589543
5637,3.5237499999998345,3.5234374999998344,2.701234242106276,-0.007675371672360096
5638,3.5243749999998344,3.5240624999998342,2.701416111640183,-0.007650639419494711
5639,3.5249999999998343,3.524687499999834,2.701597710579697,-0.007626146496755798
5640,3.525624999999834,3.525312499999834,2.701779038901024,-0.007601896349721105
5641,3.526249999999834,3.525937499999834,2.7019600965813835,-0.007577892404225121
5642,3.526874999999834,3.5265624999998337,2.7021408835974556,-0.007554138066148042
5643,3.5274999999998338,3.5271874999998336,2.7023213999264617,-0.00753063672083469
5644,3.5281249999998336,3.5278124999998335,2.702501645545428,-0.007507391732515996
5645,3.5287499999998335,3.5284374999998334,2.7026816204318997,-0.007484406444129168
5646,3.5293749999998334,3.5290624999998332,2.702861324563344,-0.007461684176722021
5647,3.5299999999998333,3.529687499999833,2.703040757917186,-0.007439228228984975
5648,3.530624999999833,3.530312499999833,2.7032199204714713,-0.007417041876800712
5649,3.531249999999833,3.530937499999833,2.703398812203722,-0.007395128373063202
5650,3.531874999999833,3.5315624999998327,2.703577433092518,-0.00737349094678578
5651,3.5324999999998328,3.5321874999998326,2.7037557831154437,-0.007352132802959579
5652,3.5331249999998326,3.5328124999998325,2.703933862251037,-0.007331057122284748
5653,3.5337499999998325,3.5334374999998324,2.7041116704777197,-0.007310267060144803
5654,3.5343749999998324,3.5340624999998322,2.704289207774054,-0.0072897657467510535
5655,3.5349999999998323,3.534687499999832,2.7044664741186333,-0.007269556286526378
5656,3.535624999999832,3.535312499999832,2.704643469490119,-0.007249641757683209
5657,3.536249999999832,3.535937499999832,2.704820193867923,-0.007230025211478052
5658,3.536874999999832,3.5365624999998317,2.704996647230493,-0.00721070967239729
5659,3.537499999999832,3.5371874999998316,2.7051728295573736,-0.0071916981372182305
5660,3.5381249999998317,3.5378124999998315,2.7053487408277777,-0.007172993574828334
5661,3.5387499999998315,3.5384374999998314,2.7055243810210605,-0.00715459892574969
5662,3.5393749999998314,3.5390624999998312,2.7056997501168025,-0.0071365171017394695
5663,3.5399999999998313,3.539687499999831,2.7058748480947643,-0.00711875098531146
